experiment_name,dataset,backbone_name,num_classes,num_epochs,lr,batch_size,seed,lora_rank,num_coupling_layers,dia_n_blocks,lambda_logdet,tail_weight,score_aggregation_top_k,tail_top_k,scale_context_kernel,spatial_context_kernel,use_lora,use_dia,use_whitening_adapter,use_router,use_pos_embedding,use_spatial_context,use_scale_context,use_task_adapter,adapter_mode,cl_scenario,Image_AUC,Pixel_AUC,Pixel_AP,Routing_Acc
MVTec-WRN50-TopK7-TailW0.5,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,1e-05,0.5,7,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9821,0.9747,0.4866,100.0
MVTec-WRN50-TopK7-TailW0.5-LogdetReg1e-4,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,0.0001,0.5,7,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9826,0.9767,0.5221,100.0
MVTec-WRN50-TopKPercent3,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,1e-05,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9796,0.9736,0.4735,100.0
MVTec-WRN50-Ultimate-Combo1,mvtec,wide_resnet50_2,15,60,0.0003,16,0,64,8,6,0.0001,,,,5,3,True,True,True,True,True,True,True,True,whitening,,0.9821,0.9763,0.5066,100.0
MVTec-WRN50-Ultimate-Combo2,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,6,0.0001,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9829,0.9768,0.5098,100.0
MVTec-WRN50-Ultimate-Combo3,mvtec,wide_resnet50_2,15,60,0.0003,16,0,64,8,8,0.0001,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9825,0.9754,0.4884,100.0
MVTec-WRN50-lr1e-4,mvtec,wide_resnet50_2,15,60,0.0001,16,0,64,8,4,1e-05,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.976,0.9735,0.4774,100.0
MVTec-WRN50-lr3e-4,mvtec,wide_resnet50_2,15,60,0.0003,16,0,64,8,4,1e-05,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9808,0.9736,0.4718,100.0
VISA-Ablation-LoRA128-DIA6-TailW0.7-TopK3,visa,wide_resnet50_2,12,80,0.0003,16,0,128,10,6,0.0001,0.7,3,,5,3,True,True,True,True,True,True,True,True,whitening,,0.8182,0.9669,0.2652,100.0
VISA-Ablation-TailW0.8-TopK3-TailTopK2-ScaleK5,visa,wide_resnet50_2,12,80,0.0003,16,0,64,10,4,0.0001,0.8,3,2,5,3,True,True,True,True,True,True,True,True,whitening,,0.8114,0.9607,0.259,100.0
VISA-Default-TailW0.7-TopK3-TailTopK2-ScaleK5-lr3e-4,visa,wide_resnet50_2,12,80,0.0003,16,0,64,10,4,0.0001,0.7,3,2,5,3,True,True,True,True,True,True,True,True,whitening,,0.8107,0.9623,0.2608,100.0
VISA-ViT-100ep-DIA6-C10,visa,vit_base_patch16_224.augreg2_in21k_ft_in1k,12,100,0.0001,16,0,64,10,6,0.0001,,,,5,3,True,True,True,True,True,True,True,True,whitening,1-1,0.9064,0.9408,0.2693,99.89
VISA-ViT-100ep-LogDet2e-4-ScaleK7,visa,vit_base_patch16_224.augreg2_in21k_ft_in1k,12,100,0.0001,16,0,64,10,6,0.0002,,,,7,3,True,True,True,True,True,True,True,True,whitening,1-1,0.9,0.9295,0.2381,99.83
VISA-ViT-60ep,visa,vit_base_patch16_224.augreg2_in21k_ft_in1k,12,60,0.0001,16,0,64,8,2,1e-05,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.8801,0.944,0.1982,99.89
VISA-ViT-DIA8-C10-100ep,visa,vit_base_patch16_224.augreg2_in21k_ft_in1k,12,100,0.0001,16,0,64,10,8,0.0001,,,,5,3,True,True,True,True,True,True,True,True,whitening,1-1,0.9059,0.9424,0.2424,99.83
